case,setting,method,ErrD_mean,ErrD_std,ErrR_mean,ErrR_std,unseen_mean,unseen_std
case_a,clean,mlp,0.06925603747367859,0.004007031855688651,0.3127859930197398,0.01892272991190584,0.004828039148788017,0.0003136654278033974
case_a,clean,neural+symbolic,0.06852931972968389,0.004265965954198697,0.31274233014272707,0.018940914903836023,0.004701307507959571,0.000351638791255392
case_a,clean,strong_poly,0.00040980351655194367,0.00011435617407560763,0.0021127219743146196,0.0008855452013599663,1.803606129121137e-05,5.128290372044956e-06
case_a,clean,weak_poly,0.008150894124812421,0.00104730675194665,0.030898115758850462,0.009033978619607405,0.0008306773330613751,0.0001348290750976471
case_a,noise_1,mlp,0.46092066168785095,0.08225312215223285,1.0643982887268066,0.1930127225592908,0.0399531378900908,0.00776065249118574
case_a,noise_1,neural+symbolic,0.4609194351344301,0.08225379641557315,1.0642597679728765,0.19418634856290984,0.04005108044569462,0.007834176602253173
case_a,noise_1,strong_poly,0.5720598031106106,0.09418752799332585,3.578601977136992,0.38211796192248704,0.04611310450883477,0.009216432808376713
case_a,noise_1,weak_poly,0.010107000821996092,0.004325460544651203,0.05916998926965548,0.03914127737785778,0.0009468815397824204,0.000303388932658956
case_a,noise_5,mlp,0.8672215342521667,0.0038425629568577934,2.361258586247762,0.09132593638361824,0.10290862405519309,0.0016533788817295792
case_a,noise_5,neural+symbolic,0.8672214905058776,0.0038425456454052025,2.36499815493178,0.09123769060181448,0.10294272687349065,0.0016429936118900338
case_a,noise_5,strong_poly,0.9773447864356424,0.006887172972523952,6.242306259082564,1.1208509533154416,0.10661027889357823,0.005666656330361968
case_a,noise_5,weak_poly,0.03056813741301147,0.011405490791837728,0.27359900313565316,0.1389754088334901,0.003288783779290766,0.0007700335647430286
case_a,sparse_both,mlp,0.05045738692084948,0.006224660321457522,0.37864474455515545,0.01593175092828289,0.005041538544947346,0.00017779517153813487
case_a,sparse_both,neural+symbolic,0.0468458833015122,0.007746013177738379,0.3786339990390742,0.01593438373954764,0.004472857046602781,0.00032135492502962623
case_a,sparse_both,strong_poly,0.03636737796115602,0.005490119841706284,0.1392189064934282,0.028471926603723857,0.0028410988533024498,0.0005359026385091334
case_a,sparse_both,weak_poly,0.06107731392619479,0.009592995144879057,0.2223738973996361,0.0629569485987948,0.005633576990832599,0.0011443972530677177
case_a,sparse_space,mlp,0.05021872495611509,0.005593985890759958,0.3798932631810506,0.01478976218660014,0.005056096295922081,0.0001836509534991578
case_a,sparse_space,neural+symbolic,0.04655200697808071,0.007027054601398661,0.37988289480384035,0.014792292513210773,0.004473926322946823,0.0003205535406424262
case_a,sparse_space,strong_poly,0.03598565977532404,0.005380942130500294,0.13813333058680735,0.027885054595464646,0.00283140268633711,0.0005316503300265633
case_a,sparse_space,weak_poly,0.06122079319850676,0.009580104048009372,0.2227623270193594,0.0628909838629078,0.005639511435602158,0.001144796467140439
case_a,sparse_time,mlp,0.07105550169944763,0.00356960285985114,0.30892545978228253,0.019700955419941307,0.004851577684364987,0.0003078829214480384
case_a,sparse_time,neural+symbolic,0.07044094691652879,0.0037678450458493063,0.30887759636855705,0.019721627465975024,0.004734710002011557,0.00034156826284402486
case_a,sparse_time,strong_poly,0.001568137070666749,0.00042967250991745974,0.008000878600208868,0.003301585009904428,6.939774197632202e-05,1.948257451920732e-05
case_a,sparse_time,weak_poly,0.008374211139242659,0.0011048572727089332,0.03169036621244636,0.009319353474331382,0.0008443672799438466,0.000139658989908083
case_b,clean,mlp,0.10025800516208012,0.0056866141634349995,0.20473367472489676,0.017265571571529963,0.003948913498028452,0.0003373677159962217
case_b,clean,neural+symbolic,0.10013996990132741,0.005650231930441939,0.20357133362085755,0.017555376736238682,0.0037265585140826836,0.0003584566063103868
case_b,clean,strong_poly,0.00040184399421827697,0.0001087925814695061,0.0025966604566800213,0.0010921988006232285,1.6505136167390838e-05,4.629564823853676e-06
case_b,clean,weak_poly,0.008029755596969862,0.000698956961248966,0.037010848386634584,0.008149996919214666,0.0009556012295521324,0.00012517873210455652
case_b,noise_1,mlp,0.4795151750246684,0.08655764321433192,1.792362650235494,0.36136644407143603,0.03269061569815315,0.008206860635650149
case_b,noise_1,neural+symbolic,0.479506090294428,0.08656471883991468,1.798763921581622,0.35956677407820353,0.032810667417000804,0.008249880396608377
case_b,noise_1,strong_poly,0.5649929136382904,0.10399771002703101,4.5015550181172514,0.5146779067700625,0.03814548586226032,0.008893972328715215
case_b,noise_1,weak_poly,0.010032047667781456,0.003972783169142712,0.07117049352782018,0.040880020568771304,0.0010653902818833067,0.00028599335248820357
case_b,noise_5,mlp,0.8470161557197571,0.004160272469286239,3.2476328214009604,0.046775348444623506,0.0757228651931125,0.0007982084168924207
case_b,noise_5,neural+symbolic,0.8470161790973094,0.004160288880820466,3.270133792051901,0.04865079111847487,0.07579114869545793,0.0006476276210035583
case_b,noise_5,strong_poly,0.9783917796190594,0.008145014444724076,7.913613417664963,1.4290535449071402,0.0849231651668894,0.004838633885719915
case_b,noise_5,weak_poly,0.0350585867050708,0.009717523033841538,0.3628992325583453,0.13389404854474857,0.0038652068707865847,0.0009513509404749326
case_b,sparse_both,mlp,0.08183722446362178,0.0016356762883187118,0.27275729179382324,0.022746805067115843,0.0042481933815274285,7.399510153079569e-05
case_b,sparse_both,neural+symbolic,0.08158788644384518,0.0016449841023687094,0.27226758098430653,0.022930571985630494,0.0038930064812944254,9.875893844112286e-05
case_b,sparse_both,strong_poly,0.043446161073851026,0.006396303727750825,0.2232897253377153,0.058385982765607296,0.002315601891521271,0.00043496620666818615
case_b,sparse_both,weak_poly,0.05357309323979801,0.006987441100662875,0.24647871734099966,0.06013031226091848,0.005121155619127283,0.0008136244741788186
case_b,sparse_space,mlp,0.08048862218856812,0.0016745207066044489,0.2771689643462499,0.023735882637872515,0.004303601673559161,9.15647454083813e-05
case_b,sparse_space,neural+symbolic,0.08023983254570291,0.001680230643881328,0.27671608163702005,0.023913670066403866,0.003951485550743555,0.0001231199868378643
case_b,sparse_space,strong_poly,0.0431563769745714,0.006359251968689906,0.22294004476371873,0.05874945316659996,0.0023041791501978675,0.00043286508557053747
case_b,sparse_space,weak_poly,0.053790792546754736,0.007004473678358484,0.24712495901108547,0.0601190332156236,0.005131767760108411,0.0008162605623505712
case_b,sparse_time,mlp,0.10210999349753062,0.006409523653709935,0.2018278439839681,0.016045458031986527,0.003915003461328684,0.0003469375829400875
case_b,sparse_time,neural+symbolic,0.10198860664452704,0.006372278126885253,0.20063587865768473,0.016327805431897817,0.0036898562958892975,0.00036731376135915
case_b,sparse_time,strong_poly,0.0015087221076223133,0.0003993241404084922,0.009619554142278835,0.003978768499595052,6.19648246517294e-05,1.700970781850161e-05
case_b,sparse_time,weak_poly,0.008146420368866375,0.0007215018556098537,0.037521906658291575,0.00830547401151488,0.0009615461762947285,0.0001257646134304037
case_exp,clean,mlp,0.04726060355703036,0.0003731855570534269,0.46981534361839294,0.008208686981435336,0.0031618514482498216,9.274590885314119e-05
case_exp,clean,neural+symbolic,0.04709558687154481,0.0003876527688131885,0.4698164709718991,0.008208552815679978,0.0032224613075214972,8.893873981687219e-05
case_exp,clean,strong_poly,0.0766394077458304,0.0023696150455800318,0.3953451691596201,0.1225035611198853,0.0023831253052932822,0.00024112387015394184
case_exp,clean,weak_poly,0.06395255343784062,0.002374884952784182,0.1036413978770282,0.0473329709371034,0.0021368726268212617,0.00014353043989999819
case_exp,noise_1,mlp,0.38801966110865277,0.0737348825687471,2.1399831771850586,0.37318305051830564,0.03434550458780786,0.006686687148423656
case_exp,noise_1,neural+symbolic,0.38802698383021134,0.07375420304144507,2.142506080068785,0.37296482052226665,0.0344144493674993,0.006738274095152755
case_exp,noise_1,strong_poly,0.5701217005838113,0.08621876803782666,6.716319980338483,0.4839445284138258,0.03897311739907151,0.0076827333828501316
case_exp,noise_1,weak_poly,0.0644330741731838,0.002305685259787653,0.1878791139727132,0.11493855738065158,0.0021991177084219253,0.0002549451651118241
case_exp,noise_5,mlp,0.837651530901591,0.0034412575030003025,4.5796135266621905,0.23932368387924094,0.09795057784638837,0.003177486412175273
case_exp,noise_5,neural+symbolic,0.8376529064570676,0.0034407772451334855,4.577225410413059,0.23679278013301336,0.0979575857967611,0.00319989821094481
case_exp,noise_5,strong_poly,0.9746017845008339,0.005879903613876701,11.03252618232428,2.0673348847867983,0.10352652846875117,0.006238217540639939
case_exp,noise_5,weak_poly,0.0856648565133215,0.016073953618116612,0.8232187192137385,0.34315915264036484,0.00350658887843046,0.0006858073138865187
case_exp,sparse_both,mlp,0.07075416793425877,0.0038044141805969817,0.5441997845967611,0.017008850582257616,0.004509744841935365,0.0002401501445935493
case_exp,sparse_both,neural+symbolic,0.07069143945566324,0.003908019923038982,0.5442008288289225,0.01700869514585763,0.004522839087974423,0.0002571041864050513
case_exp,sparse_both,strong_poly,0.07281584006611806,0.0050900711196249235,0.3633372172175318,0.025443536858425153,0.003977960431813156,0.0002071302108467106
case_exp,sparse_both,weak_poly,0.08128518690889498,0.005391037782030947,0.48461199104854563,0.22071713536414253,0.005465470558520446,0.0009443142178425147
case_exp,sparse_space,mlp,0.07204067955414455,0.002984672199182601,0.5460210045178732,0.016303408343759738,0.004554398084725517,0.0002546448477817972
case_exp,sparse_space,neural+symbolic,0.07198472974586811,0.0030874486603823656,0.546022053234911,0.016303270258745985,0.004564952033842326,0.00027462576263563083
case_exp,sparse_space,strong_poly,0.0708613269115017,0.005463066071957233,0.36766731509897355,0.027043299988068262,0.004056631450341318,0.00019016840851506737
case_exp,sparse_space,weak_poly,0.08105415511164228,0.005098077524350058,0.4903209300122251,0.23049509439970087,0.005452444361670486,0.0009106917175575154
case_exp,sparse_time,mlp,0.04732892165581385,0.00037355791950689874,0.47490514318148297,0.00804681549581318,0.0031637189341914423,9.803153122581481e-05
case_exp,sparse_time,neural+symbolic,0.04716329076210285,0.00038167099609694936,0.47490620442391446,0.00804667893620485,0.0032239810382156207,9.370685460512321e-05
case_exp,sparse_time,strong_poly,0.0759288031211152,0.00247616424833993,0.395144188438651,0.12346231455076655,0.0023969480512339675,0.0002515490899183935
case_exp,sparse_time,weak_poly,0.06401946653552927,0.0023977531600868273,0.10394603188785484,0.04778418647737116,0.0021407918094341056,0.0001460265571824761
