case,setting,seed,noise_level,space_stride,time_stride,backbone,neural_true_ErrD,neural_true_ErrR,neural_unseen,symbolic_family_D,symbolic_family_R,symbolic_expr_D,symbolic_expr_R,symbolic_complexity_D,symbolic_complexity_R,symbolic_surrogate_ErrD,symbolic_surrogate_ErrR,symbolic_true_ErrD,symbolic_true_ErrR,symbolic_unseen,bir_D,bir_R
case_exp,clean,0,0.0,1,1,mlp,0.02602379210293293,0.3809746503829956,0.0017941412183945988,polynomial,rational,0.0139193 + 0.0618676*u - 0.0441145*u^2 + 0.010806*u^3,(0.0229118 + 0.0741661*u - 0.0783065*u^2) / (1 - 1.51835*u + 0.68026*u^2),4,5,0.011694204633414347,0.1375119849196199,0.021652772643498533,0.38711140704476144,0.001983325867043941,0.8320375661569409,1.0161080446050583
case_exp,clean,1,0.0,1,1,mlp,0.027124488726258278,0.40960755944252014,0.0020586384024132032,rational,rational,(0.016282 + 0.0143785*u + 0.249918*u^2) / (1 - 0.0217261*u + 5.66642*u^2),(0.0271916 + 0.0696378*u - 0.0754521*u^2) / (1 - 1.4687*u + 0.631078*u^2),5,5,0.0022657373641250447,0.14025819283548208,0.026907474562717908,0.4133294443339709,0.001958419356447852,0.9919993270387328,1.0090864653389606
case_exp,clean,2,0.0,1,1,mlp,0.028814001008868217,0.38585561513900757,0.002290740722555234,rational,rational,(0.0155885 + 0.0321006*u + 0.137289*u^2) / (1 + 0.0212123*u + 3.33139*u^2),(0.0237706 + 0.0830866*u - 0.0829734*u^2) / (1 - 1.37219*u + 0.577479*u^2),5,5,0.003365388027972993,0.11341894630599914,0.02761889785677952,0.3872999557605868,0.0022233610284269636,0.9585235264022904,1.0037432152466121
case_exp,noise_1,0,0.01,1,1,mlp,0.3147416412830353,1.8751964569091797,0.025151757242524633,rational,rational,(0.0134812 + 0.0162441*u + 0.0259788*u^2) / (1 - 0.63105*u + 1.50388*u^2),(0.152289 + 0.00453951*u - 0.147416*u^2) / (1 - 1.6695*u + 0.821529*u^2),5,5,0.01643001287984974,0.0605554454728903,0.3147759764250549,1.8674332685254915,0.02503340717246362,1.000109089924929,0.995860066631907
case_exp,noise_1,1,0.01,1,1,mlp,0.38932186365127563,2.258272171020508,0.03674991322549778,rational,rational,(0.0126511 + 5.07725e-05*u + 0.0325292*u^2) / (1 - 1.11019*u + 1.81918*u^2),(0.176751 - 0.00743943*u - 0.159416*u^2) / (1 - 1.64156*u + 0.79717*u^2),5,5,0.019303449573277315,0.054674803869024624,0.3895996806489821,2.249229223391253,0.037034520740229754,1.0007135920780326,0.9959956342971856
case_exp,noise_1,2,0.01,1,1,mlp,0.48368069529533386,2.5346620082855225,0.04040095880673748,rational,rational,(0.0120934 - 0.00252908*u + 0.0221024*u^2) / (1 - 1.24327*u + 1.65384*u^2),(0.22392 - 0.0578419*u - 0.142849*u^2) / (1 - 1.60817*u + 0.759881*u^2),5,5,0.02458134552112486,0.05521542340709602,0.48396692495629795,2.5269492247488494,0.04077165200740314,1.0005917740024528,0.9969570761263392
case_exp,noise_5,0,0.05,1,1,mlp,0.813805878162384,4.594123840332031,0.09218759290101412,polynomial,rational,0.00733998 + 0.00093007*u - 0.000714501*u^2,(0.387894 - 0.199446*u - 0.210802*u^2) / (1 - 1.73125*u + 0.890388*u^2),3,5,0.0005692158707980152,0.06680023512194447,0.8138098523915926,4.556259823530039,0.0918582129018432,1.0000048835100792,0.991758163663421
case_exp,noise_5,1,0.05,1,1,mlp,0.8169506192207336,4.500707149505615,0.09956938004274016,polynomial,rational,0.0064672 + 0.0016334*u - 0.000699235*u^2,(0.354954 - 0.145888*u - 0.242597*u^2) / (1 - 1.76426*u + 0.927291*u^2),3,5,0.0005946641410749226,0.06967555796896395,0.8169454530030476,4.459677641945991,0.09936438116316185,0.99999367621792,0.9908837642182226
case_exp,noise_5,2,0.05,1,1,mlp,0.8214103579521179,3.9857592582702637,0.09277499988311319,polynomial,rational,0.00724214 + 0.000704572*u - 0.000692998*u^2,(0.367644 - 0.194409*u - 0.177597*u^2) / (1 - 1.72202*u + 0.878445*u^2),3,5,0.000861887612967969,0.0575866679741238,0.821416720385618,3.960799083193372,0.09254802013872365,1.0000077457429632,0.9937376611432062
case_exp,sparse_space,0,0.0,2,1,mlp,0.060129567980766296,0.39337489008903503,0.0037263076603172283,polynomial,rational,0.0128815 + 0.0714824*u - 0.0558*u^2 + 0.0153421*u^3,(0.0175437 + 0.0741233*u - 0.0747002*u^2) / (1 - 1.58279*u + 0.734711*u^2),4,5,0.01632401733911789,0.160901077205677,0.057295344093697895,0.4029695165968205,0.0036437995428263035,0.9528647222615172,1.024390541311912
