case,seed,noise_level,noise_percent,nominal_snr_db,realized_snr_db,ErrD,ErrR,unseen,final_weak_loss,final_strong_loss
case_exp,0,0.0,0.0,inf,inf,0.048762910068035126,0.43770331144332886,0.003173415286531288,0.0003268204163759947,0.03154303506016731
case_exp,0,0.01,1.0,40.0,39.98564631074912,0.3027138113975525,1.7560352087020874,0.028182868809537787,0.17756599187850952,10.75223159790039
case_exp,0,0.02,2.0,33.979400086720375,33.96741692992019,0.6393588185310364,3.9807965755462646,0.07055876692891827,0.7308963537216187,39.058284759521484
case_exp,0,0.03,3.0,30.45757490560675,30.447695278912697,0.7898703217506409,4.767641067504883,0.0944242920158158,1.5141267776489258,83.92147827148438
case_exp,0,0.04,4.0,27.95880017344075,27.950806368207385,0.823946475982666,4.907621383666992,0.1004549249437655,2.501840829849243,146.1068878173828
case_exp,0,0.05,5.0,26.020599913279625,26.014347198508464,0.833621084690094,4.931008338928223,0.10238921428219089,3.748894214630127,225.8909149169922
case_exp,1,0.0,0.0,inf,inf,0.04713207483291626,0.43133243918418884,0.0031400032220639355,0.0003364239528309554,0.02759931981563568
case_exp,1,0.01,1.0,40.0,40.03848647462497,0.3933764398097992,2.331890821456909,0.04137461914056761,0.23477773368358612,13.767292022705078
case_exp,1,0.02,2.0,33.979400086720375,34.02072467733708,0.7398720979690552,4.29663610458374,0.0903798311513591,0.9166792035102844,50.37337112426758
case_exp,1,0.03,3.0,30.45757490560675,30.50313382924136,0.8208885788917542,4.66269063949585,0.10413234288462152,1.8621493577957153,109.52700805664062
case_exp,1,0.04,4.0,27.95880017344075,28.01016371590364,0.8332578539848328,4.704777717590332,0.1064049435162462,3.128256320953369,191.94691467285156
case_exp,1,0.05,5.0,26.020599913279625,26.078383211849413,0.8374155759811401,4.714114665985107,0.1072477565016793,4.745348930358887,297.6267395019531
case_exp,2,0.0,0.0,inf,inf,0.04727582260966301,0.450903058052063,0.003322055164996822,0.00030831052572466433,0.025187892839312553
case_exp,2,0.01,1.0,40.0,40.01637307027916,0.4960595965385437,2.735240936279297,0.04681761382129911,0.25101980566978455,13.96064281463623
case_exp,2,0.02,2.0,33.979400086720375,33.99911453515592,0.7965409755706787,4.2344512939453125,0.09273494674938527,0.9216889142990112,51.544193267822266
case_exp,2,0.03,3.0,30.45757490560675,30.481703475311587,0.8330777883529663,4.393458843231201,0.09976901860785714,1.887402057647705,113.12681579589844
case_exp,2,0.04,4.0,27.95880017344075,27.98813946918166,0.8400806188583374,4.423919200897217,0.10115515791161414,3.2165181636810303,199.09817504882812
case_exp,2,0.05,5.0,26.020599913279625,26.055970901023873,0.8426337242126465,4.438470363616943,0.10170178425404769,4.917628765106201,309.36376953125
