case,backbone,regime,amplitude_min,amplitude_max,noise_level,num_seeds,num_trajectories,epochs,bin_coverage_mean,bin_coverage_std,gradient_rms_mean,gradient_rms_std,curvature_rms_mean,curvature_rms_std,weak_diffusion_energy_mean,weak_diffusion_energy_std,final_weak_loss_mean,final_weak_loss_std,relative_error_D_mean,relative_error_D_std,relative_error_R_mean,relative_error_R_std,unseen_rollout_relative_l2_mean,unseen_rollout_relative_l2_std
case_exp,mlp,low_excitation,0.81,0.99,0.0,3.0,6.0,150.0,0.125,0.0,0.48011544306864745,0.004858702575319586,7.924500896616133,0.8880668744525748,2.41075922921547,0.27822753459463667,1.2585660442709923e-05,1.8761774396031302e-06,0.17056640485922495,0.017584931855041244,0.8153675595919291,0.01803435147292496,0.0002742674658143229,1.82215510414464e-05
case_exp,mlp,high_excitation,0.0,1.8,0.0,3.0,6.0,150.0,0.84375,0.0,4.545859096477803,0.0806611591362923,80.50928983919476,8.831799883382342,218.4696930709209,26.530280546553527,0.00032753997948020697,5.213946080572924e-05,0.04624182482560476,0.0011696797708633897,0.3911903202533722,0.02216267992315429,0.002624402244862102,2.1147135917669134e-05
