case,setting,dataset_seed,base_seed,num_seeds,master_trajectories,nx,dt,t_final,save_every,epochs,noise_level,space_stride,time_stride,hidden_width,hidden_depth,ErrD_mean,ErrD_std,ErrR_mean,ErrR_std,weak_loss_mean,weak_loss_std,unseen_mean,unseen_std,diffusion_dispersion,reaction_dispersion
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,32,2,0.05289747814337412,5.2100640308546256e-05,0.2589605947335561,0.008752056423820534,0.0005277637198256949,5.326387874934151e-06,0.003090896749826668,0.00029468594142593595,0.0007584345488188168,0.015404524592061838
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,32,4,0.06282757967710495,0.00032268864100403204,0.7913591464360555,0.0029386084744519258,0.0018276911772166689,9.803128133592826e-06,0.004951344621921806,0.00041507571188062947,0.0013031352427788079,0.005453116803740461
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,32,8,0.07626349727312724,0.0006340047861235462,0.6386237541834513,0.005151152645340089,0.002372161252424121,4.011551344907631e-05,0.0050420810527986625,0.0005969025861872448,0.001479586586356163,0.005962023666749398
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,64,2,0.04814191907644272,0.00017710434929887406,0.4666808346907298,0.011688477078279965,0.0002699551696423441,5.734922248949319e-06,0.0029632215661764016,0.00016121392647148306,0.0008802318867916862,0.034097800652186074
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,64,4,0.025849717979629833,2.268526379950019e-05,0.3841087023417155,0.0008024993447995442,0.0002116906640973563,1.0649595711907389e-06,0.0019347384858727956,9.596246266255277e-05,0.0005986052346997894,0.004363308195024729
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,64,8,0.02659999206662178,1.1495231904021618e-05,0.3084620436032613,0.019355906369963455,0.00014051368877214068,1.6684303847246397e-05,0.001499927082569834,0.000276142542513565,0.0007669377179505924,0.06457620859146118
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,128,2,0.04925187180439631,0.000174488622309881,0.6908284624417623,0.00025313856776952364,0.00044584452795485657,2.7399510188810697e-06,0.003611361678662262,0.00011458636080992838,0.000611027751195555,0.0027163391544794044
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,128,4,0.024756886065006256,5.235300589421629e-05,0.42595253388086957,0.0006202854750669284,0.0002036926404495413,2.210498071585558e-07,0.0016965727628493155,0.0002975118438495089,0.0004274043070230012,0.0021088718979929886
case_exp,clean,0,100,3,8,64,0.0001,0.1,10,150,0.0,1,1,128,8,0.025637399405241013,4.7421453628389035e-05,0.5115209023157755,0.003113941628936996,0.0002543407705767701,2.441253957077665e-06,0.0018454471009315527,0.0003408221391463911,0.0010683101912339528,0.03083402228852113
