case,backbone,space_stride,time_stride,fine_nx,fine_saved_dt,val_nx,val_saved_dt,num_seeds,num_train_trajectories,num_test_trajectories,epochs,relative_error_D_mean,relative_error_D_std,relative_error_R_mean,relative_error_R_std,final_weak_loss_mean,final_weak_loss_std,unseen_rollout_relative_l2_mean,unseen_rollout_relative_l2_std,cross_grid_rollout_relative_l2_mean,cross_grid_rollout_relative_l2_std
case_exp,mlp,1.0,1.0,64.0,0.0005,48.0,0.0006,3.0,8.0,4.0,150.0,0.045663975179195404,0.0009885386052638696,0.4063795308272044,0.011571923036872383,0.00027523708801406127,1.139457959634217e-05,0.0025950483201563515,4.531162933213004e-05,0.002580074139039482,2.8813433891957326e-05
case_exp,mlp,2.0,1.0,64.0,0.0005,48.0,0.0006,3.0,8.0,4.0,150.0,0.0716174989938736,0.0012717708042697692,0.48408371210098267,0.01362839173868131,0.0021346563395733633,0.0003684822763435274,0.003988956332311389,0.00014683632154439732,0.003974570587043123,0.00014455942644071469
case_exp,mlp,1.0,2.0,64.0,0.0005,48.0,0.0006,3.0,8.0,4.0,150.0,0.04557568331559499,0.0009149935931905432,0.40924323598543805,0.011296753549725234,0.00027328966340670985,1.0182096275139167e-05,0.0025964376454145734,4.423516921877715e-05,0.002581082701658512,2.8240297638490677e-05
case_exp,mlp,2.0,2.0,64.0,0.0005,48.0,0.0006,3.0,8.0,4.0,150.0,0.07060336321592331,0.0017784409413168852,0.4823443094889323,0.013093191319708616,0.001773263366582493,0.00033787191265232985,0.003949889569793205,0.00010721491332928119,0.003935514232234558,0.00010456222077870362
